START_STATION,AVG_RIDE_COUNT
Morgan St & Pershing Rd,11.19
Laramie Ave & Madison St,11.04
Halsted & 63rd - Kennedy-King Vaccination Site,10.96
Loomis Blvd & 84th St,10.68
Baltimore Ave & 87th St,10.67
State St & 123rd St,10.64
Cicero Ave & Lake St,10.43
Ellis Ave & 83rd St,10.36
Cottage Grove Ave & 111th Pl,10.30
Long & Irving Park,10.30
Vernon Ave & 79th St,10.09
Eggleston Ave & 92nd St,10.06
Clyde Ave & 87th St,10.00
Central Park Ave & 24th St,9.95
Damen Ave & 59th St,9.94
Major Taylor Trail & 115th St,9.82
Stewart Ave & 83rd St,9.71
Central Ave & Harrison St,9.68
Avenue O & 118th St,9.36
WEST CHI-WATSON,9.33
Cottage Grove Ave & 78th St,9.33
Major Taylor Trail & 124th St,9.33
Laramie Ave & Kinzie St,9.17
Shields Ave & 43rd St,9.16
Greenwood Ave & 79th St,9.00
Stony Island Ave & 90th St,8.92
Commercial Ave & 83rd St,8.86
Avenue O & 134th St,8.85
Ashland Ave & 63rd St,8.83
Marquette Ave & 89th St,8.82
W Washington Blvd & N Peoria St,8.59
Ewing Ave & Burnham Greenway,8.55
Western Ave & 104th St,8.50
Stony Island Ave & South Chicago Ave,8.46
Racine Ave & Garfield Blvd,8.45
Bradley Park,8.42
East End Ave & 87th St,8.42
Western & 28th - Velasquez Institute Vaccination Site,8.25
Cottage Grove Ave & 71st St,8.21
Ashland Ave & 50th St,8.08
Homewood Ave & 115th St,8.04
Lockwood Ave & Wrightwood Ave,8.00
Phillips Ave & 83rd St,7.95
Yates Blvd & 93rd St,7.94
Houston Ave & 92nd St,7.86
Vernon Ave & 75th St,7.83
Pulaski Rd & Congress Pkwy,7.79
Loomis St & 89th St,7.67
N Paulina St & Lincoln Ave,7.65
Kostner Ave & Adams St,7.63
Commercial Ave & 100th St,7.50
Kenton Ave & Madison St,7.48
Summit Ave & 86th St,7.47
Eggleston Ave & 69th St,7.46
Broadway & Wilson Ave,7.45
